date,share_code,issuer_name,investor_name,investor_type,local_foreign,nationality,domicile,holdings_scripless,holdings_scrip,total_holding_shares,percentage
2026-03-31,AADI,ADARO ANDALAN INDONESIA Tbk,ADARO STRATEGIC INVESTMENTS,CP,L,,INDONESIA,3200142830,0,3200142830,41.1
2026-03-31,AADI,ADARO ANDALAN INDONESIA Tbk,ALAMTRI RESOURCES INDONESIA TBK PT,CP,L,,INDONESIA,1197023942,0,1197023942,15.37
2026-03-31,AADI,ADARO ANDALAN INDONESIA Tbk,GARIBALDI THOHIR,ID,L,INDONESIAN,INDONESIA,454011607,0,454011607,5.83
2026-03-31,AADI,ADARO ANDALAN INDONESIA Tbk,SARATOGA INVESTAMA SEDAYA TBK PT,CP,L,,INDONESIA,340897429,0,340897429,4.38
2026-03-31,AADI,ADARO ANDALAN INDONESIA Tbk,EDWIN SOERYADJAYA,ID,L,INDONESIAN,INDONESIA,273955636,0,273955636,3.52
2026-03-31,AADI,ADARO ANDALAN INDONESIA Tbk,IR. T. PERMADI RACHMAT,ID,L,INDONESIAN,INDONESIA,254992918,0,254992918,3.27
2026-03-31,AADI,ADARO ANDALAN INDONESIA Tbk,SANDIAGA SALAHUDDIN UNO,ID,L,INDONESIAN,INDONESIA,159027175,0,159027175,2.04
2026-03-31,AADI,ADARO ANDALAN INDONESIA Tbk,PERSADA CAPITAL INVESTAMA,CP,L,,INDONESIA,220609170,0,220609170,2.83
2026-03-31,AADI,ADARO ANDALAN INDONESIA Tbk,PT TRINUGRAHA THOHIR,CP,L,,INDONESIA,89926520,0,89926520,1.15
2026-03-31,AALI,ASTRA AGRO LESTARI Tbk,PT ASTRA INTERNATIONAL TBK,CP,L,,INDONESIA,0,1533682440,1533682440,79.68
2026-03-31,AALI,ASTRA AGRO LESTARI Tbk,DJS KETENAGAKERJAAN PROGRAM JAMINAN HARI TUA,IS,L,,INDONESIA,41979300,0,41979300,2.18
2026-03-31,ABBA,MAHAKA MEDIA Tbk,PT BEYOND MEDIA,CP,L,,INDONESIA,1592831618,0,1592831618,40.47
2026-03-31,ABBA,MAHAKA MEDIA Tbk,SOLIC KREASI BARU PT,CP,L,,INDONESIA,542042122,0,542042122,13.77
2026-03-31,ABBA,MAHAKA MEDIA Tbk,MEDIAHUIS IRELAND LIMITED,,,,,0,282886300,282886300,7.19
2026-03-31,ABBA,MAHAKA MEDIA Tbk,DRS. WINARTO,ID,L,INDONESIAN,,178745400,0,178745400,4.54
2026-03-31,ABBA,MAHAKA MEDIA Tbk,YAYASAN ABDI BANGSA,,,,,0,111372886,111372886,2.83
2026-03-31,ABBA,MAHAKA MEDIA Tbk,YAYASAN BINA SEJAHTERA WARGA BULOG,,,,,0,52975286,52975286,1.35
2026-03-31,ABBA,MAHAKA MEDIA Tbk,PT KAIROS EKSPRES INTERNASIONAL,CP,L,,INDONESIA,52362500,0,52362500,1.33
2026-03-31,ABBA,MAHAKA MEDIA Tbk,PT.Grid One Media,CP,L,,INDONESIA,43791628,0,43791628,1.11
2026-03-31,ABBA,MAHAKA MEDIA Tbk,TJEN FOENG FA,ID,L,INDONESIAN,INDONESIA,41856300,0,41856300,1.06
2026-03-31,ABBA,MAHAKA MEDIA Tbk,PEARL HILL INVESTMENTS LTD,IB,F,,"VIRGIN ISLANDS, BRITISH",39999999,0,39999999,1.02
2026-03-31,ABDA,ASURANSI BINA DANA ARTA Tbk,OONA INDONESIA PTE LTD,IS,F,,SINGAPORE,538555304,0,538555304,86.75
2026-03-31,ABDA,ASURANSI BINA DANA ARTA Tbk,MAYBANK SECURITIES PTE. LTD.,SC,F,,SINGAPORE,30499400,0,30499400,4.91
2026-03-31,ABDA,ASURANSI BINA DANA ARTA Tbk,DBS BANK LTD.,IB,F,,SINGAPORE,28000000,0,28000000,4.51
2026-03-31,ABDA,ASURANSI BINA DANA ARTA Tbk,SKYLIGHT INVESTMENT LTD,CP,F,,CAYMAN ISLANDS,21728234,0,21728234,3.5
2026-03-31,ABMM,ABM INVESTAMA Tbk,PT TIARA MARGA TRAKINDO,CP,L,,INDONESIA,1474573133,0,1474573133,53.56
2026-03-31,ABMM,ABM INVESTAMA Tbk,VALLE VERDE PTE LTD,CP,F,,SINGAPORE,702349867,0,702349867,25.51
2026-03-31,ABMM,ABM INVESTAMA Tbk,DRS LO KHENG HONG,ID,L,INDONESIAN,INDONESIA,155382400,0,155382400,5.64
2026-03-31,ABMM,ABM INVESTAMA Tbk,NOBLE INVESTMENT CORPORATION (SPC) LTD.,CP,F,,CAYMAN ISLANDS,96446100,0,96446100,3.5
2026-03-31,ACES,ASPIRASI HIDUP INDONESIA Tbk,PT KAWAN LAMA SEJAHTERA,CP,L,,INDONESIA,10272189700,0,10272189700,60.0
2026-03-31,ACES,ASPIRASI HIDUP INDONESIA Tbk,DBS BANK LTD S/A ALBIZIA ASEAN OPPORTUNITIES FUND,IB,F,,UNITED KINGDOM,494894900,0,494894900,2.89
2026-03-31,ACES,ASPIRASI HIDUP INDONESIA Tbk,NT TST CO S/A EDGBASTON ASIAN EQUITY (JERSEY) TRUST,OT,F,,JERSEY,199072300,0,199072300,1.16
2026-03-31,ACES,ASPIRASI HIDUP INDONESIA Tbk,PT. PRUDENTIAL LIFE ASSURANCE,IS,L,,INDONESIA,183863700,0,183863700,1.07
2026-03-31,ACES,ASPIRASI HIDUP INDONESIA Tbk,MERCER QIF FUND PLC,MF,F,,IRELAND,172752200,0,172752200,1.01
2026-03-31,ACRO,SAMCRO HYOSUNG ADILESTARI Tbk,TAE SUNG CHUNG,ID,F,SOUTH KOREAN,INDONESIA,2720072495,0,2720072495,78.4
2026-03-31,ACRO,SAMCRO HYOSUNG ADILESTARI Tbk,JOO HEE KO,ID,F,SOUTH KOREAN,INDONESIA,155459000,0,155459000,4.48
2026-03-31,ACRO,SAMCRO HYOSUNG ADILESTARI Tbk,SUMAN KIM,ID,F,SOUTH KOREAN,INDONESIA,131628700,0,131628700,3.79
2026-03-31,ACRO,SAMCRO HYOSUNG ADILESTARI Tbk,KYUNGHEE KO,ID,F,SOUTH KOREAN,INDONESIA,107563300,0,107563300,3.1
2026-03-31,ACST,ACSET INDONUSA Tbk,PT. KARYA SUPRA PERKASA,CP,L,,INDONESIA,16115027968,0,16115027968,91.17
2026-03-31,ADCP,ADHI COMMUTER PROPERTI Tbk,ADHI KARYA PERSERO TBK PT.,CP,L,,INDONESIA,0,19999900000,19999900000,90.0
2026-03-31,ADES,AKASHA WIRA INTERNATIONAL Tbk,WATER PARTNERS BOTTLING SA,CP,F,,SWITZERLAND,538896713,0,538896713,91.35
2026-03-31,ADES,AKASHA WIRA INTERNATIONAL Tbk,DRS SURONO SUBEKTI,ID,L,INDONESIAN,INDONESIA,6106500,0,6106500,1.04
2026-03-31,ADHI,ADHI KARYA (PERSERO) Tbk,PERUSAHAAN PERSEROAN (PERSERO) PT DANANTARA ASSET MANAGEMENT,CP,L,,,0,5354686054,5354686054,63.69
2026-03-31,ADHI,ADHI KARYA (PERSERO) Tbk,"PANIN SEKURITAS Tbk, PT",SC,L,,INDONESIA,237909268,0,237909268,2.83
2026-03-31,ADHI,ADHI KARYA (PERSERO) Tbk,PT. MITRACOMM EKASARANA,CP,L,,INDONESIA,158419800,0,158419800,1.88
2026-03-31,ADHI,ADHI KARYA (PERSERO) Tbk,SALIM LIM,ID,L,INDONESIAN,INDONESIA,140259823,0,140259823,1.67
2026-03-31,ADHI,ADHI KARYA (PERSERO) Tbk,PT WARUNA NUSASENTANA,CP,L,,INDONESIA,96194100,0,96194100,1.14
2026-03-31,ADMF,ADIRA DINAMIKA MULTI FINANCE Tbk,"BANK DANAMON INDONESIA Tbk, PT - REGISTRAR",IB,L,,INDONESIA,920700000,0,920700000,74.5
2026-03-31,ADMF,ADIRA DINAMIKA MULTI FINANCE Tbk,MUFG Bank Ltd,IB,F,,JAPAN,233757759,0,233757759,18.92
2026-03-31,ADMG,POLYCHEM INDONESIA Tbk,PROVESTMENT LIMITED,OT,F,,"VIRGIN ISLANDS, BRITISH",1925414417,0,1925414417,49.51
2026-03-31,ADMG,POLYCHEM INDONESIA Tbk,"GAJAH TUNGGAL, TbK. PT.",CP,L,,INDONESIA,994150000,0,994150000,25.56
2026-03-31,ADMG,POLYCHEM INDONESIA Tbk,PT SATYA MULIA GEMA GEMILANG,CP,L,,INDONESIA,405356593,0,405356593,10.42
2026-03-31,ADMG,POLYCHEM INDONESIA Tbk,SOETIKNO HARTO SOEWITO,ID,L,INDONESIAN,,104848300,0,104848300,2.7
2026-03-31,ADMG,POLYCHEM INDONESIA Tbk,DRS LO KHENG HONG,ID,L,INDONESIAN,INDONESIA,50318100,0,50318100,1.29
2026-03-31,ADMG,POLYCHEM INDONESIA Tbk,NEW WORLD GLOBAL LIMITED,CP,F,,,0,39997466,39997466,1.03
2026-03-31,ADMR,ALAMTRI MINERALS INDONESIA Tbk,ALAMTRI RESOURCES INDONESIA TBK PT,CP,L,,INDONESIA,34933166100,0,34933166100,85.45
2026-03-31,ADMR,ALAMTRI MINERALS INDONESIA Tbk,VERANUS CAPITAL PTE. LTD.,IB,F,,SINGAPORE,532762560,0,532762560,1.3
2026-03-31,ADMR,ALAMTRI MINERALS INDONESIA Tbk,SILVERCITY ENTERPRISE LIMITED,CP,F,,HONG KONG,436463680,0,436463680,1.07
2026-03-31,ADRO,ALAMTRI RESOURCES INDONESIA Tbk,ADARO STRATEGIC INVESTMENTS,CP,L,,INDONESIA,14045425500,0,14045425500,47.79
2026-03-31,ADRO,ALAMTRI RESOURCES INDONESIA Tbk,GARIBALDI THOHIR,ID,L,INDONESIAN,INDONESIA,1976632710,0,1976632710,6.73
2026-03-31,ADRO,ALAMTRI RESOURCES INDONESIA Tbk,SARATOGA INVESTAMA SEDAYA TBK PT,CP,L,,INDONESIA,1174890670,0,1174890670,4.0
2026-03-31,ADRO,ALAMTRI RESOURCES INDONESIA Tbk,EDWIN SOERYADJAYA,ID,L,INDONESIAN,INDONESIA,1051738544,0,1051738544,3.58
2026-03-31,ADRO,ALAMTRI RESOURCES INDONESIA Tbk,IR. T. PERMADI RACHMAT,ID,L,INDONESIAN,INDONESIA,890218901,0,890218901,3.03
2026-03-31,ADRO,ALAMTRI RESOURCES INDONESIA Tbk,SANDIAGA SALAHUDDIN UNO,ID,L,INDONESIAN,INDONESIA,611849202,0,611849202,2.08
2026-03-31,ADRO,ALAMTRI RESOURCES INDONESIA Tbk,ALAMTRI RESOURCES INDONESIA TBK PT,CP,L,,INDONESIA,589195200,0,589195200,2.0
2026-03-31,ADRO,ALAMTRI RESOURCES INDONESIA Tbk,KOREA SOUTH-EAST POWER CO.LTD,CP,F,,"KOREA, REPUBLIC OF",480000000,0,480000000,1.63
